Date,Open,High,Low,Close,Volume,AdjClose
2015-09-25,25.809999,26.299999,25.799999,26.030001,37485500,26.030001,
2015-09-24,25.09,25.5,24.92,25.41,35462500,25.41,
2015-09-23,25.219999,25.309999,25.01,25.280001,18755200,25.280001,
2015-09-22,25.059999,25.209999,24.969999,25.139999,20747600,25.139999,
2015-09-21,25.450001,25.82,25.35,25.540001,21880700,25.540001,
2015-09-18,25.57,25.74,25.25,25.540001,39334700,25.540001,
2015-09-17,25.959999,26.280001,25.809999,25.879999,24952100,25.879999,
2015-09-16,26.07,26.1,25.85,26.07,21178200,26.07,
2015-09-15,25.559999,26.08,25.559999,25.98,20007100,25.98,
2015-09-14,26.15,26.17,25.66,25.700001,18636000,25.700001,
2015-09-11,26,26.18,25.809999,26.02,21407300,26.02,
2015-09-10,25.9,26.49,25.85,26.26,26291000,26.26,
2015-09-09,26.5,26.73,25.879999,25.940001,24880500,25.940001,
2015-09-08,25.98,26.33,25.91,26.299999,20816700,26.299999,
2015-09-04,25.42,25.65,25.35,25.52,26903500,25.52,
2015-09-03,25.879999,26.15,25.73,25.9,27727400,25.9,
2015-09-02,25.59,25.66,25.08,25.65,27772100,25.65,
2015-09-01,25.219999,25.620001,25.01,25.120001,32366000,25.120001,
2015-08-31,25.940001,26.110001,25.74,25.879999,32281600,25.879999,
2015-08-28,25.91,26.049999,25.82,26,26870800,26,
2015-08-27,26,26.190001,25.610001,26.17,36097100,26.17,
2015-08-26,25.280001,25.74,24.709999,25.68,54330600,25.68,
2015-08-25,25.940001,25.99,24.6,24.620001,39952200,24.620001,
2015-08-24,24.889999,26.08,23.030001,25.190001,58946800,25.190001,
2015-08-21,26.879999,27.34,26.469999,26.469999,48010700,26.469999,
2015-08-20,27.559999,27.75,27.040001,27.040001,37429900,27.040001,
2015-08-19,28.1,28.24,27.719999,27.799999,29990100,27.799999,
2015-08-18,28.709999,28.719999,28.18,28.25,32102400,28.25,
2015-08-17,28.65,28.969999,28.51,28.83,21181900,28.83,
2015-08-14,28.780001,29.049999,28.75,29.030001,24814500,29.030001,
2015-08-13,28.780001,29.209999,28.690001,28.700001,61067500,28.700001,
2015-08-12,27.799999,28.1,27.41,27.9,41085000,27.9,
2015-08-11,28.24,28.389999,27.85,28.02,25193800,28.02,
2015-08-10,28.48,28.700001,28.27,28.59,23633100,28.59,
2015-08-07,28.17,28.23,27.9,28.15,15983600,28.15,
2015-08-06,28.370001,28.67,28,28.209999,20143800,28.209999,
2015-08-05,28.110001,28.6,28.1,28.27,19052400,28.27,
2015-08-04,28.219999,28.459999,27.889999,28.030001,18475000,28.030001,
2015-08-03,28.41,28.59,28.110001,28.360001,17257600,28.360001,
2015-07-31,28.389999,28.559999,28.16,28.42,20154900,28.42,
2015-07-30,28.219999,28.459999,28.200001,28.299999,17359100,28.299999,
2015-07-29,28.200001,28.52,28.02,28.4,21310700,28.4,
2015-07-28,28.34,28.35,27.85,28.209999,23483300,28.209999,
